id,name,artistString,songType,publishDate,lengthSeconds,favoritedTimes,ratingScore,status
274228,Snow-white Medium,弱音P feat. 初音ミク,Original,2007-09-26T00:00:00Z,94,1,3,Finished
6485,Chocolate☆Magic -ドキドキ大作戦-,OSTER project feat. 初音ミク,Original,2007-09-26T00:00:00Z,118,4,32,Finished
538295,Chaos,さつき が てんこもり feat. Delay Lama,Original,2007-09-25T00:00:00Z,83,1,3,Finished
307760,メッセージ,azuma feat. 初音ミク,Original,2007-09-25T00:00:00Z,93,0,0,Finished
268807,moon 旧版,iroha(sasaki) feat. 初音ミク,Original,2007-09-25T00:00:00Z,163,4,14,Finished
268169,かに風味かまぼこ賛歌,不在通知P feat. 初音ミク,Original,2007-09-25T00:00:00Z,63,1,5,Finished
7842,恋愛ボーカロイド,Dog tails feat. 初音ミク,Original,2007-09-25T00:00:00Z,256,4,30,Finished
424500,ハッピーハードミク,骨盤P feat. 初音ミク,Original,2007-09-24T00:00:00Z,163,0,0,Finished
266000,シンキロウ,tombo. feat. 初音ミク,Original,2007-09-24T00:00:00Z,98,0,0,Finished
265994,Starry Blue,HiRO@Lovecar feat. 初音ミク,Original,2007-09-24T00:00:00Z,109,0,0,Finished
3027,Innocence,KazuP feat. 初音ミク,Original,2007-12-19T00:00:00Z,140,32,166,Approved
977836,broken my bear,U-ske feat. 初音ミク,Original,2007-12-18T00:00:00Z,258,0,0,Draft
718537,二人だけのMarry X’mas!!＜みっくみくMix＞,octave feat. 初音ミク,Original,2007-12-18T00:00:00Z,239,0,0,Finished
718533,君との時間にさよなら,すなみかんとく feat. 初音ミク,Original,2007-12-18T00:00:00Z,83,0,0,Finished
718519,ぬっこ　ぬっこに　されとるでー　「その３」,Dragon Flavor feat. 初音ミク,Original,2007-12-18T00:00:00Z,89,0,0,Finished
718514,keikoの憂鬱,上場 feat. Unknown vocal synth(s),Original,2007-12-18T00:00:00Z,267,0,0,Draft
718494,つむぎ太郎 (仮),Bitstar feat. 初音ミク,Original,2007-12-18T00:00:00Z,231,0,0,Finished
715875,私脱いだらヤバいんです ～short version～,FAR-07 feat. 初音ミク,Original,2007-12-18T00:00:00Z,78,0,0,Finished
